fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4zuwhp F5F76C12B07AC124B3B02E03AC526D6F1B20EB77,90,90,90,90,90,90,90,90,90,90,90,79,79,79,79,79,79,79,79,79,79,79,79,79
51Pegasib 9C199F99B10EB9CB6E1E1F7DD329991D8AA7CD4A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
555nase 597422ADDADAF5FB2727369B7EFC7AA76B89D613,4400,4300,4400,4400,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5870,5490,6100,6100
56kmodem E09FFE941E288EA8809F6CD40D9AD1BD3BAB9EAA,55200,55200,55200,55200,63000,63000,63000,73200,73000,73000,73000,71000,71000,72000,61000,61000,61000,61100,61100,72000,72000,61000,61000,61000
5b82I0IfxsHI7ekh 15AE6FFE0E245A820D4F74EA64B4C304EE555C1D,1140,1140,1140,1140,1140,1140,1140,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1030,1030,1030,1030,1030,1030,1030
5efd8dd DC79C9D75CFD7A91F9232922E05D225CBDCB7703,140000,140000,140000,140000,140000,152000,151000,150000,149000,148000,148000,148000,148000,140000,135000,136000,136000,137000,137000,137000,138000,138000,139000,139000
5f3d65cf743853ca58 B88F5D5E15EED6D01CD6429DAFC70FD0C7E756B1,0,0,0,0,0,20,1,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
5fd811a4 DBFD22903D0EED29BC2D1EA557D93E6DEDA3DCAE,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,29000,29000,29100,29200,29400,29600,29800,29000,29000,28000,28000
5fd833a9 A994EF2BB269BEB58F137B8F0FEE256745AEFF51,23800,23800,23800,23700,25300,25100,25000,24800,24700,24500,24500,24500,24500,24500,23000,23000,23000,23000,25500,25700,25800,25900,24500,24600
5fd833ab 113184F9855AECB1D9BF3230A07408EC2767A62B,26000,26000,26000,26000,26000,26000,27000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
5fd833ae D3A8FEB88169C3B5859D9BC38E2CA465206475C7,24000,24000,21600,21600,21500,21500,21400,21300,21200,21100,21100,24000,24000,24000,20000,20000,20000,20000,20000,20100,20200,20200,20300,21300
5iwek B3FCF2FD6554F8980206EBDF1AF2860195C245B8,19000,19000,19000,18000,18000,18000,18000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
5p33dy 55A6183B28CD17164637889DB19B0888DC231D46,594,594,594,594,594,614,614,614,614,663,663,663,663,556,556,556,556,556,556,540,540,540,540,540
61626c B9202D61DAEBD19503AB96BB4A575AA8EE5BF03B,20,20,20,20,20,20,20,20,20,20,17,17,17,17,17,17,17,17,17,17,17,19,19,19
64b80939d24f6bdbd1 CB75C628460494EFAFDC41C744F9E050C0FF18C3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,92,92,92,92,92,92,92
65a0663df362a99655 30B9B2578EBDE51EA49DD5A56F965B992A7185B8,92,92,92,92,92,92,92,83,83,83,83,83,85,85,85,85,85,85,85,85,85,85,96,96
65e28b3d3ed32855e9 5E74530F144736F9AA3749F5F1693A3677B78B9E,347,347,347,347,347,347,347,347,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
69CastriesSFRcable 0188E3CF013D67542A146379F33F978342FC2037,228,228,228,228,228,228,228,228,228,228,228,228,269,269,269,269,269,269,269,269,269,269,269,269
6mctr01 60820A2820446DD90E068ED3E121497C809F3D65,22100,22100,22700,22600,22400,22200,22000,22000,22000,22000,22000,22000,22000,22000,21900,22000,22000,21100,20600,19000,19000,19000,19000,19000
72ab8f63bbd93503 DB58ED50E920C51F5C1A044E6A04BA669B14CFD2,280,280,280,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
7GKgoJso FA6ABE03527CA0B2D1E36939F7CCBE1982AB6EAD,150,150,150,150,393,393,393,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491
7fach BCB14DE52207E4F5C9B565466E20B68C17993B89,1190,1190,1190,1190,1190,1190,1120,1270,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,910,910,910
