fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ADKP FEAAE9BAC8B6747BBC3A14D9E9AC3924A0FDE3A7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,14,14,14,14,14,14
AEtherC0r3 080BBF9B14454976FDEAD1AD620A04388F5A21F8,2380,2380,2380,2380,2370,2350,2450,2440,2430,2430,2420,2410,2400,2420,2420,2430,2460,2470,2070,2070,2080,2090,2100,2100
AFistfulofOnions AA1C729BA8B846930D53580822A81F6C38432C00,3070,3080,3070,3150,3140,3110,3090,3080,3060,3580,3590,3590,3610,3620,3640,3640,3670,3680,3690,3710,3720,3730,2960,2980
AHOJ 401DC570F501F859F1381E9B0484608AF7BA97AC,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,13,13,13,16,16,16,16,16,16
AIKO CE3FE883C6C9EF475EA097DC3E33A6F32B852DA1,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,110000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
AITUK AD8673D4703E01D768E91382DB7E9C795C683C26,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12
AIgeneratedPostcard FAC70E0E2B41FF5DB186708D13C06985CCC116E3,340,340,340,340,340,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
ALBANIX 8C42FC1876E51D5C8DE6372C7B7AD595F95E6DC0,284,284,284,284,284,284,257,257,285,285,285,285,285,285,285,285,285,301,301,301,301,301,301,301
ALF2 C3B5C9391E36631ABEA89A19C24750DBDFF7CEC8,11100,11100,11100,11100,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,10200,10200,10200,10200,10000
AMBROOS D8E4BB7FED74D267829CF3BD45F82C809A5D3792,8230,8240,8220,8210,8170,8140,8140,8130,8170,8140,8160,8160,8190,8220,8250,8260,8320,8350,8370,8410,8450,7700,7700,7700
AMDmi3x1 6B9D83843DBD686DBB8066989BFCC90303F67B05,3260,3260,3250,3240,3230,3220,3180,3170,3160,3160,3150,3130,3140,3160,2700,2700,2710,2730,2750,2750,2760,2770,2790,2790
ANDREI 31E1E56350E97C7FD5952529ECFDFB58685B0712,5750,5760,5170,5180,5160,5140,5150,4400,5080,5060,5080,5070,5100,5110,5130,5140,5180,5190,5210,5230,6680,6690,6730,6760
ANormalDay 725BDB38752AB86CC9F204AC9857C29306BBE2D6,11000,11000,11000,11000,11000,11000,11000,11000,11100,11100,11100,11100,11100,11200,11300,11300,11400,11400,11400,11500,11600,11600,11600,12000
ARBOT1 EA15B276BD24D31A963CAD4CE32FC49EFA3CE0D8,3790,3540,3540,3540,4100,4100,4100,4100,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
ARBOT2 170749EACC0F18729F1E34416ED6F0D914435902,5690,5690,5690,5690,5690,5690,5690,5690,6300,6300,6300,9500,9500,9500,9500,9500,9400,9400,9400,9400,9400,9400,9400,9400
ASock 5099AA94537F2ECEB5E4F2B05E142BEC138076DA,87,87,87,87,87,87,87,93,93,93,93,93,93,93,93,93,93,93,90,90,90,90,90,90
ATLANTIS A6BBD33695A4E3C4545BA370605A4DCD87D98BEE,7410,7410,7400,7410,7380,7350,7370,7370,7410,7380,7410,6460,6460,6450,6550,6570,6600,6650,6670,6690,6710,6740,6780,6800
ATZv5 12CF6DB4DAE106206D6C6B09988E865C0509843B,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49100,49100,49100,49100,49100,49100,49100,49100,47000,47000,47000,49100
