fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2501 76FFDF3CC158873643942AEA9F7A2520D3086842,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20
2600cityoflondon F7BA4C490EF77200DB35EE75DF44EAC54DA65D79,19,17,19,17,17,17,17,17,17,17,17,17,17,19,19,17,19,17,17,17,19,17,17
26resistance CF1158FE7DF19DFC8BF845E1A2D31FE86C344FE2,690,690,690,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2B D99D156FEAFBCA3BDEBA81958FB110143620CF33,19600,19600,19600,19600,19600,19600,19600,21300,21300,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,23800,23800,23800,23800
2Contribute A98ADD972045D3CCAEE65C788C3F175BAEA3E324,12100,12200,14600,12100,12000,12000,12000,12000,12000,12000,12000,12100,12100,15000,15000,12100,15000,13000,14000,14000,14500,14000,14000
2HG 33DBA330433E2915BD0EE66787A48863C818C0BB,860,860,860,860,860,860,860,860,860,860,860,860,860,860,850,850,850,850,850,850,850,830,830
2degrees 8F7AF563302B14E0A38784E6D96D995D16C80697,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1040,1040,1080,1100,1100,1080,1100,1080,1080,1080,1100,1080,1080
2fast4you2 FA017266AD102BFF9024DC2909E2F0BB6FCCB3FF,19700,19800,20400,19400,19400,19200,19200,19200,19200,19200,19300,19300,19300,21800,21800,19500,21900,19600,19700,19800,22100,20100,20100
2livebrew 53B8B5C2A33C489B54300D558BFEE2C3B12F3875,3660,3200,3650,3200,3200,3100,2900,2900,2900,2900,2900,2900,2900,4300,4300,2900,4300,2900,2900,2900,4500,2900,2900
2mpdhack CDB2605D2BD28DA31CC91956E8BAD147B7DF8AF9,723,630,723,630,630,630,630,630,630,630,630,630,630,723,723,630,723,630,630,630,630,619,619
2propstor D76E1FDC7A3D899282BB882F74111B36A6D14B64,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,9300,9900,9900,9900,9900,9900,9900,9900,9800,9900
2tangy 3723B855A12B48E6A9CE1BF7D90EA116900B819A,5760,5700,5760,5660,5620,5570,5570,5560,5700,5700,5590,5620,4550,4600,4600,4600,4600,4600,4600,4590,4610,4620,4630
324partyvan 91BA193FB362FB7B6679A7A83A3050F3C44A5468,22600,22600,22600,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22600,21700,20000,21700,20000,20000,20000,21700,20000,20000
3735928559 A96DA63E4415E776FBFCCF3DA7154C804534B6E7,10800,10800,10800,10800,10800,10700,10700,10600,10600,10200,10200,10300,10300,10300,10400,10400,10400,10500,10500,10600,10700,10800,10800
3IRelay EF8D0C748FC81F47F0368CC52807DE8F9444919B,3400,3200,3380,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3310,3320,3200,3350,3200,3200,3200,3400,3400,3400
3a07dbc8ceae47a08b CB6D9B6B1ED3E0186E3019EFA8AA34E7E57913C0,17200,17300,17200,17200,17100,17000,17100,17000,17000,18000,17100,17100,17200,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
3cce3a91f6a625 18B160CD5E22BFC345AEE7BA84B7EA45BF457FCA,44400,44400,44400,44200,49000,49000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
